#,Word,Link,POS,Definition
1,analyze,https://www.handspeak.com/word/a/analyze.mp4,NN,
2,introspect,https://www.handspeak.com/word/i/introspect.mp4,NN,
3,abandon,https://www.handspeak.com/word/a/abandon.mp4,NN,
4,abbreviate,https://www.handspeak.com/word/a/abbreviate.mp4,NN,
5,stillborn,https://www.handspeak.com/word/s/stillborn.mp4,NN,
6,about,https://www.handspeak.com/word/a/about.mp4,IN,
7,regarding,https://www.handspeak.com/word/r/regarding.mp4,VBG,
8,above,https://www.handspeak.com/word/a/above.mp4,IN,
9,abstract art,https://www.handspeak.com/word/a/abstract-art.mp4,JJ,
10,accept,https://www.handspeak.com/word/a/accept.mp4,NN,
11,baby,https://www.handspeak.com/word/b/baby.mp4,NN,
12,bacon,https://www.handspeak.com/word/b/bacon.mp4,NN,
13,rear-facing,https://www.handspeak.com/word/r/rear-facing-carseat.mp4,NN,
14,backbone,https://www.handspeak.com/word/b/backbone.mp4,NN,
15,backstroke,https://www.handspeak.com/word/b/backstroke.mp4,NN,
16,back and forth,https://www.handspeak.com/word/b/back-forth.mp4,RB,
17,cake,https://www.handspeak.com/word/c/cake-fs.mp4,NN,
18,calculator,https://www.handspeak.com/word/c/calculator.mp4,NN,
19,Calgary,https://www.handspeak.com/word/c/calgary.mp4,JJ,
20,Calgary Flames,https://www.handspeak.com/word/c/calgary-flames.mp4,NNP,
21,accident,https://www.handspeak.com/word/a/accident.mp4,NN,
22,accidental,https://www.handspeak.com/word/a/accidental.mp4,NN,
23,accounting,https://www.handspeak.com/word/a/accounting.mp4,NN,
24,across,https://www.handspeak.com/word/a/across.mp4,IN,
25,active,https://www.handspeak.com/word/a/active.mp4,JJ,
26,activity,https://www.handspeak.com/word/a/activity.mp4,NN,
27,plus,https://www.handspeak.com/word/p/plus.mp4,CC,
28,add,https://www.handspeak.com/word/a/add.mp4,VB,
29,addictive,https://www.handspeak.com/word/a/addictive.mp4,JJ,
30,address,https://www.handspeak.com/word/a/address.mp4,NN,
31,admire,https://www.handspeak.com/word/a/admire.mp4,NN,
32,admit,https://www.handspeak.com/word/a/admit.mp4,NN,
