#,Word,Link,POS,POS_Desc,Category
1,analyze,https://www.handspeak.com/word/a/analyze.mp4,NN,"noun, singular",
2,introspect,https://www.handspeak.com/word/i/introspect.mp4,NN,"noun, singular",
3,abandon,https://www.handspeak.com/word/a/abandon.mp4,NN,"noun, singular",
4,abbreviate,https://www.handspeak.com/word/a/abbreviate.mp4,NN,"noun, singular",
5,stillborn,https://www.handspeak.com/word/s/stillborn.mp4,NN,"noun, singular",
6,about,https://www.handspeak.com/word/a/about.mp4,IN,preposition/subordinating conjunction,
7,regarding,https://www.handspeak.com/word/r/regarding.mp4,VBG,"verb, gerund/present participle",
8,above,https://www.handspeak.com/word/a/above.mp4,IN,preposition/subordinating conjunction,
9,abstract art,https://www.handspeak.com/word/a/abstract-art.mp4,JJ,adjective,
10,accept,https://www.handspeak.com/word/a/accept.mp4,NN,"noun, singular",
11,baby,https://www.handspeak.com/word/b/baby.mp4,NN,"noun, singular",Education
12,bacon,https://www.handspeak.com/word/b/bacon.mp4,NN,"noun, singular",Food
13,rear-facing,https://www.handspeak.com/word/r/rear-facing-carseat.mp4,NN,"noun, singular",
14,backbone,https://www.handspeak.com/word/b/backbone.mp4,NN,"noun, singular",
15,backstroke,https://www.handspeak.com/word/b/backstroke.mp4,NN,"noun, singular",
16,back and forth,https://www.handspeak.com/word/b/back-forth.mp4,RB,adverb very,
17,cake,https://www.handspeak.com/word/c/cake-fs.mp4,NN,"noun, singular",Food
18,calculator,https://www.handspeak.com/word/c/calculator.mp4,NN,"noun, singular",
19,Calgary,https://www.handspeak.com/word/c/calgary.mp4,JJ,adjective,City
20,Calgary Flames,https://www.handspeak.com/word/c/calgary-flames.mp4,NNP,"proper noun, singular",
21,accident,https://www.handspeak.com/word/a/accident.mp4,NN,"noun, singular",
22,accidental,https://www.handspeak.com/word/a/accidental.mp4,NN,"noun, singular",
23,accounting,https://www.handspeak.com/word/a/accounting.mp4,NN,"noun, singular",
24,across,https://www.handspeak.com/word/a/across.mp4,IN,preposition/subordinating conjunction,
25,active,https://www.handspeak.com/word/a/active.mp4,JJ,adjective,
26,activity,https://www.handspeak.com/word/a/activity.mp4,NN,"noun, singular",
27,plus,https://www.handspeak.com/word/p/plus.mp4,CC,coordinating conjunction,
28,add,https://www.handspeak.com/word/a/add.mp4,VB,"verb, base form",
29,addictive,https://www.handspeak.com/word/a/addictive.mp4,JJ,adjective,Health
30,address,https://www.handspeak.com/word/a/address.mp4,NN,"noun, singular",
31,admire,https://www.handspeak.com/word/a/admire.mp4,NN,"noun, singular",
32,admit,https://www.handspeak.com/word/a/admit.mp4,NN,"noun, singular",
33,adult education,https://www.handspeak.com/word/a/adult-education.mp4,NN,"noun, singular",
34,privilege,https://www.handspeak.com/word/p/privilege.mp4,NN,"noun, singular",
35,take charge,https://www.handspeak.com/word/t/take-charge.mp4,VB,"verb, base form",
36,adventurous,https://www.handspeak.com/word/a/adventure.mp4,JJ,adjective,
37,advertise,https://www.handspeak.com/word/a/advertise.mp4,NN,"noun, singular",
38,advertisement,https://www.handspeak.com/word/a/advertisement.mp4,NN,"noun, singular",
39,advice,https://www.handspeak.com/word/a/advice.mp4,NN,"noun, singular",Education
40,advocacy,https://www.handspeak.com/word/a/advocacy.mp4,NN,"noun, singular",
41,aesthetics,https://www.handspeak.com/word/a/aesthetics.mp4,NNS,noun plural,
42,harvest,https://www.handspeak.com/word/h/harvest.mp4,NN,"noun, singular",
43,affiliate,https://www.handspeak.com/word/a/affiliate.mp4,NN,"noun, singular",
44,update,https://www.handspeak.com/word/u/update.mp4,NN,"noun, singular",
45,Afghanistan,https://www.handspeak.com/word/a/afghanistan.mp4,NNP,"proper noun, singular",Country
46,Afghan,https://www.handspeak.com/word/a/afghanistan-v.mp4,NNP,"proper noun, singular",Country
47,afraid,https://www.handspeak.com/word/a/afraid.mp4,NN,"noun, singular",
48,Africa,https://www.handspeak.com/word/a/africa.mp4,NNP,"proper noun, singular",Country
49,after,https://www.handspeak.com/word/a/after.mp4,IN,preposition/subordinating conjunction,
50,afternoon,https://www.handspeak.com/word/a/afternoon.mp4,NN,"noun, singular",
51,again,https://www.handspeak.com/word/a/again.mp4,RB,adverb very,
52,against,https://www.handspeak.com/word/a/against.mp4,IN,preposition/subordinating conjunction,
53,aggressive,https://www.handspeak.com/word/a/aggressive.mp4,JJ,adjective,
54,agree,https://www.handspeak.com/word/a/agree.mp4,NN,"noun, singular",
55,ahead,https://www.handspeak.com/word/a/ahead.mp4,RB,adverb very,
56,airplane,https://www.handspeak.com/word/a/airplane.mp4,NN,"noun, singular",
57,airport,https://www.handspeak.com/word/a/airport.mp4,NN,"noun, singular",
